instance,n_customers,n_vehicles_available,capacity,timeout_s,status,status_name,total_cost,vehicles_used,solve_time_s
R2_10_1.txt,1000,250,1000,2.0,0,SUCCESS,43324.36760902405,22,2.1931053176522255
R2_10_10.txt,1000,250,1000,60.0,0,SUCCESS,32605.220198869705,19,60.25504532083869
R2_10_10.txt,1000,250,1000,10.0,0,SUCCESS,33778.4200360775,19,10.205047488212585
R2_10_10.txt,1000,250,1000,5.0,0,SUCCESS,34113.53065633774,19,6.001367770135403
R2_10_10.txt,1000,250,1000,2.0,0,SUCCESS,33941.926283836365,19,2.3809796571731567
R2_10_2.txt,1000,250,1000,60.0,0,SUCCESS,35680.128873705864,19,60.177100237458944
R2_10_2.txt,1000,250,1000,10.0,0,SUCCESS,36845.713747859,19,10.43504260852933
R2_10_2.txt,1000,250,1000,5.0,0,SUCCESS,37715.2095849514,19,5.374814663082361
R2_10_2.txt,1000,250,1000,2.0,0,SUCCESS,35324.93055987358,21,2.451104622334242
R2_10_3.txt,1000,250,1000,60.0,0,SUCCESS,27133.19864845276,19,60.3928905017674
R2_10_3.txt,1000,250,1000,10.0,0,SUCCESS,28872.522171378136,19,10.6645911000669
R2_10_3.txt,1000,250,1000,5.0,0,SUCCESS,28698.929161310196,19,5.960757575929165
R2_10_3.txt,1000,250,1000,2.0,0,SUCCESS,27865.882059812546,20,2.893474403768778
R2_10_4.txt,1000,250,1000,60.0,0,SUCCESS,20162.98821079731,19,60.36799197643995
R2_10_4.txt,1000,250,1000,10.0,0,SUCCESS,21232.92244911194,19,10.61663969233632
R2_10_4.txt,1000,250,1000,5.0,0,SUCCESS,21087.085193037987,19,5.203806653618813
R2_10_4.txt,1000,250,1000,2.0,0,SUCCESS,21098.497493982315,19,3.2202430479228497
R2_10_5.txt,1000,250,1000,60.0,0,SUCCESS,38467.982972860336,19,60.24952211230993
R2_10_5.txt,1000,250,1000,10.0,0,SUCCESS,39659.4274058342,19,10.69659036397934
R2_10_5.txt,1000,250,1000,5.0,0,SUCCESS,39976.12369847298,19,5.193370506167412
R2_10_5.txt,1000,250,1000,2.0,0,SUCCESS,39678.69960260391,20,2.25227490067482
R2_10_6.txt,1000,250,1000,60.0,0,SUCCESS,32365.01976799965,19,60.23488276824355
R2_10_6.txt,1000,250,1000,10.0,0,SUCCESS,33920.73690652847,19,10.360139969736338
R2_10_6.txt,1000,250,1000,5.0,0,SUCCESS,33801.86281609535,19,5.741541292518377
R2_10_6.txt,1000,250,1000,2.0,0,SUCCESS,33412.359968304634,20,2.370267938822508
R2_10_7.txt,1000,250,1000,60.0,0,SUCCESS,25898.766998410225,19,60.24186788499355
R2_10_7.txt,1000,250,1000,10.0,0,SUCCESS,27419.147289395332,19,10.729104928672314
R2_10_7.txt,1000,250,1000,5.0,0,SUCCESS,26918.872519493103,19,5.702589891850948
R2_10_7.txt,1000,250,1000,2.0,0,SUCCESS,26788.97494149208,19,2.8385571502149105
R2_10_8.txt,1000,250,1000,60.0,0,SUCCESS,19948.984486937523,19,61.15688706934452
R2_10_8.txt,1000,250,1000,10.0,0,SUCCESS,20748.43558907509,19,10.96123656630516
R2_10_8.txt,1000,250,1000,5.0,0,SUCCESS,20979.881435990334,19,6.044904317706823
